,Year,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
Jan,2020,1001780,1673512,7403928,10070959,3659085,3926673
Feb,2020,978681,1649887,7012152,9782547,3534736,3726840
Mar,2020,1014857,1682362,8011884,8853267,3801308,3703781
Apr,2020,965859,1646890,7492781,8475504,3772151,3478661
May,2020,1157054,2078741,8829978,10026367,4370749,3453446
Jun,2020,1194765,2296602,9644855,12299613,4637357,3822053
Jul,2020,1474034,2712645,10574033,14094820,5231192,4266140
Aug,2020,1506596,2697282,10840696,14216464,5309850,4289968
Sep,2020,1169222,2104947,9461973,10543939,4382601,3718251
Oct,2020,1125427,1979147,8904137,9871981,4349025,3702091
Nov,2020,962586,1621284,7752734,8653145,3705902,3500756
Dec,2020,1045539,1802493,7886971,10394686,3833463,3864760
