,Year,LZ_AEN,LZ_CPS,LZ_HOUSTON,LZ_NORTH,LZ_SOUTH,LZ_WEST
Jan,2020,17.22913978,17.8047043,17.22409946,17.19044355,17.52853495,23.46579301
Feb,2020,18.64610632,19.57402299,17.75673851,17.8958908,19.20405172,53.40577586
Mar,2020,23.53056528,24.46169583,24.20043069,23.49753701,23.43979812,66.71437416
Apr,2020,21.45145833,21.64563889,20.93283333,20.23797222,21.59843056,22.19884722
May,2020,18.80307796,19.89494624,19.80670699,18.49138441,20.10317204,19.1893414
Jun,2020,18.83356944,19.57223611,19.75341667,19.43966667,19.23244444,18.70606944
Jul,2020,22.00790323,22.73081989,24.07157258,23.34587366,25.01419355,22.89587366
Aug,2020,39.04322581,39.01627688,40.06180108,39.55028226,66.41858871,38.71
Sep,2020,19.37140278,19.24752778,20.070875,19.11572222,20.066125,20.38163889
Oct,2020,25.82431452,26.39583333,25.32913978,24.1384543,28.89793011,24.33966398
Nov,2020,24.63170596,24.09335645,25.39778086,24.1287656,26.68495146,29.67061026
Dec,2020,27.03348118,20.84293011,21.19451613,21.12623656,20.76844086,25.7608871
