Year,NG,Solar,Wind
2021,56.6,24.9,35.4
2022,56.6,24.9,35.4
2023,56.6,24.9,35.4
2024,56.6,24.9,35.4
2025,56.6,24.9,35.4
2026,56.6,24.9,35.4
2027,56.6,24.9,35.4
2028,56.6,24.9,35.4
2029,56.6,24.9,35.4
2030,56.6,24.9,35.4
2031,56.6,24.9,35.4
2032,56.6,24.9,35.4
2033,56.6,24.9,35.4
2034,56.6,24.9,35.4
2035,56.6,24.9,35.4
2036,56.6,24.9,35.4
2037,56.6,24.9,35.4
2038,56.6,24.9,35.4
2039,56.6,24.9,35.4
2040,56.6,24.9,35.4
2041,56.6,24.9,35.4
2042,56.6,24.9,35.4
2043,56.6,24.9,35.4
2044,56.6,24.9,35.4
2045,56.6,24.9,35.4
2046,56.6,24.9,35.4
2047,56.6,24.9,35.4
2048,56.6,24.9,35.4
2049,56.6,24.9,35.4
2050,56.6,24.9,35.4
