Year,NG,Solar,Wind
2021,1661000,1420000.0,1462330.0
2022,1661000,1420000.0,1462330.0
2023,1661000,1420000.0,1462330.0
2024,1661000,1420000.0,1462330.0
2025,1661000,1420000.0,1462330.0
2026,1661000,1420000.0,1462330.0
2027,1661000,1420000.0,1462330.0
2028,1661000,1420000.0,1462330.0
2029,1661000,1420000.0,1462330.0
2030,1661000,1420000.0,1462330.0
2031,1661000,1420000.0,1462330.0
2032,1661000,1420000.0,1462330.0
2033,1661000,1420000.0,1462330.0
2034,1661000,1420000.0,1462330.0
2035,1661000,1420000.0,1462330.0
2036,1661000,1420000.0,1462330.0
2037,1661000,1420000.0,1462330.0
2038,1661000,1420000.0,1462330.0
2039,1661000,1420000.0,1462330.0
2040,1661000,1420000.0,1462330.0
2041,1661000,1420000.0,1462330.0
2042,1661000,1420000.0,1462330.0
2043,1661000,1420000.0,1462330.0
2044,1661000,1420000.0,1462330.0
2045,1661000,1420000.0,1462330.0
2046,1661000,1420000.0,1462330.0
2047,1661000,1420000.0,1462330.0
2048,1661000,1420000.0,1462330.0
2049,1661000,1420000.0,1462330.0
2050,1661000,1420000.0,1462330.0
