Year,NG,Solar,Wind
2021,1661000,1377400.0,1418460.0999999999
2022,1661000,1336078.0,1375906.2969999998
2023,1661000,1295995.66,1334629.1080899998
2024,1661000,1257115.7902,1294590.2348472998
2025,1661000,1219402.316494,1255752.5278018806
2026,1661000,1182820.24699918,1218079.9519678243
2027,1661000,1147335.6395892045,1181537.5534087894
2028,1661000,1112915.5704015284,1146091.4268065258
2029,1661000,1079528.1032894824,1111708.68400233
2030,1661000,1047142.260190798,1078357.4234822602
2031,1661000,1015727.992385074,1046006.7007777924
2032,1661000,985256.1526135218,1014626.4997544585
2033,1661000,955698.4680351161,984187.7047618248
2034,1661000,927027.5139940626,954662.07361897
2035,1661000,899216.6885742407,926022.2114104009
2036,1661000,872240.1879170134,898241.5450680889
2037,1661000,846072.982279503,871294.2987160463
2038,1661000,820690.792811118,845155.4697545648
2039,1661000,796070.0690267844,819800.8056619278
2040,1661000,772187.9669559809,795206.78149207
2041,1661000,749022.3279473014,771350.5780473078
2042,1661000,726551.6581088824,748210.0607058886
2043,1661000,704755.1083656158,725763.7588847119
2044,1661000,683612.4551146473,703990.8461181705
2045,1661000,663104.0814612078,682871.1207346254
2046,1661000,643210.9590173715,662384.9871125866
2047,1661000,623914.6302468503,642513.437499209
2048,1661000,605197.1913394448,623238.0343742326
2049,1661000,587041.2755992615,604540.8933430057
2050,1661000,569430.0373312837,586404.6665427155
